Classname,Name
arifle_AK12_F,AK-12 7.62 mm
arifle_AK12_GL_F,AK-12 GL 7.62 mm
arifle_AKM_F,AKM 7.62 mm
arifle_AKM_FL_F,AKM 7.62 mm
arifle_AKS_F,AKS-74U 5.45 mm
arifle_ARX_blk_F,Type 115 6.5 mm (Black)
arifle_ARX_ghex_F,Type 115 6.5 mm (Green Hex)
arifle_ARX_hex_F,Type 115 6.5 mm (Hex)
arifle_CTAR_blk_F,CAR-95 5.8 mm (Black)
arifle_CTAR_ghex_F,CAR-95 5.8 mm (Green Hex)
arifle_CTAR_GL_blk_F,CAR-95 GL 5.8 mm (Black)
arifle_CTAR_GL_ghex_F,CAR-95 GL 5.8 mm (Green Hex)
arifle_CTAR_GL_hex_F,CAR-95 GL 5.8 mm (Hex)
arifle_CTAR_hex_F,CAR-95 5.8 mm (Hex)
arifle_CTARS_blk_F,CAR-95-1 5.8mm (Black)
arifle_CTARS_ghex_F,CAR-95-1 5.8mm (Green Hex)
arifle_CTARS_hex_F,CAR-95-1 5.8mm (Hex)
arifle_Katiba_C_F,Katiba Carbine 6.5 mm
arifle_Katiba_F,Katiba 6.5 mm
arifle_Katiba_GL_F,Katiba GL 6.5 mm
arifle_Mk20_F,Mk20 5.56 mm (Camo)
arifle_Mk20_GL_F,Mk20 EGLM 5.56 mm (Camo)
arifle_Mk20_GL_plain_F,Mk20 EGLM 5.56 mm
arifle_Mk20_plain_F,Mk20 5.56 mm
arifle_Mk20C_F,Mk20C 5.56 mm (Camo)
arifle_Mk20C_plain_F,Mk20C 5.56 mm
arifle_MX_Black_F,MX 6.5 mm (Black)
arifle_MX_F,MX 6.5 mm
arifle_MX_GL_Black_F,MX 3GL 6.5 mm (Black)
arifle_MX_GL_F,MX 3GL 6.5 mm
arifle_MX_GL_khk_F,MX 3GL 6.5 mm (Khaki)
arifle_MX_khk_F,MX 6.5 mm (Khaki)
arifle_MX_SW_Black_F,MX SW 6.5 mm (Black)
arifle_MX_SW_F,MX SW 6.5 mm
arifle_MX_SW_khk_F,MX SW 6.5 mm (Khaki)
arifle_MXC_Black_F,MXC 6.5 mm (Black)
arifle_MXC_F,MXC 6.5 mm
arifle_MXC_khk_F,MXC 6.5 mm (Khaki)
arifle_MXM_Black_F,MXM 6.5 mm (Black)
arifle_MXM_F,MXM 6.5 mm
arifle_MXM_khk_F,MXM 6.5 mm (Khaki)
arifle_SDAR_F,SDAR 5.56 mm
arifle_SPAR_01_blk_F,SPAR-16 5.56 mm (Black)
arifle_SPAR_01_GL_blk_F,SPAR-16 GL 5.56 mm (Black)
arifle_SPAR_01_GL_khk_F,SPAR-16 GL 5.56 mm (Khaki)
arifle_SPAR_01_GL_snd_F,SPAR-16 GL 5.56 mm (Sand)
arifle_SPAR_01_khk_F,SPAR-16 5.56 mm (Khaki)
arifle_SPAR_01_snd_F,SPAR-16 5.56 mm (Sand)
